person-id,camera,tracklet,Tops.c,Bottoms.c,Age,Tops.l,Bottoms.l,shoulder bag,backpack,hat,handbag,hair,gender,Bottoms.t
1,2,58,8,0,1,1,1,0,0,0,0,1,1,0
1,5,165,5,0,1,1,1,0,0,0,0,1,1,0
1,5,95,8,0,1,1,1,0,0,0,0,1,1,0
1,1,11,5,0,1,1,1,0,0,0,0,1,1,0
1,5,111,5,0,1,1,1,0,0,0,0,1,1,0
1,5,126,5,0,1,1,1,0,0,0,0,1,1,0
1,2,47,5,0,1,1,1,0,0,0,0,1,1,0
1,5,114,5,0,1,1,1,0,0,0,0,1,1,0
1,5,140,5,0,1,1,1,0,0,0,0,1,1,0
1,5,173,5,0,1,1,1,0,0,0,0,1,1,0
1,5,176,5,0,1,1,1,0,0,0,0,1,1,0
1,2,38,5,0,1,1,1,0,0,0,0,1,1,0
1,1,3,5,0,1,1,1,0,0,0,0,1,1,0
1,5,100,8,0,1,1,1,0,0,0,0,1,1,0
1,5,124,5,0,1,1,1,0,0,0,0,1,1,0
1,5,133,5,0,1,1,1,0,0,0,0,1,1,0
1,1,5,5,0,1,1,1,0,0,0,0,1,1,0
1,6,187,5,0,1,1,1,0,0,0,0,1,1,0
1,1,2,5,0,1,1,1,0,0,0,0,1,1,0
1,5,136,5,0,1,1,1,0,0,0,0,1,1,0
1,5,150,5,0,1,1,1,0,0,0,0,1,1,0
1,5,171,5,0,1,1,1,0,0,0,0,1,1,0
1,1,9,5,0,1,1,1,0,0,0,0,1,1,0
1,5,154,5,0,1,1,1,0,0,0,0,1,1,0
1,5,159,5,0,1,1,1,0,0,0,0,1,1,0
1,2,42,5,0,1,1,1,0,0,0,0,1,1,0
1,2,26,5,0,1,1,1,0,0,0,0,1,1,0
1,5,130,5,0,1,1,1,0,0,0,0,1,1,0
1,2,27,5,0,1,1,1,0,0,0,0,1,1,0
1,5,128,5,0,1,1,1,0,0,0,0,1,1,0
1,1,14,8,0,1,1,1,0,0,0,0,1,1,0
1,2,43,5,0,1,1,1,0,0,0,0,1,1,0
1,3,77,8,0,1,1,1,0,0,0,0,1,1,0
1,5,172,5,0,1,1,1,0,0,0,0,1,1,0
1,5,149,5,0,1,1,1,0,0,0,0,1,1,0
1,5,103,5,0,1,1,1,0,0,0,0,1,1,0
1,5,178,5,0,1,1,1,0,0,0,0,1,1,0
1,5,181,5,0,1,1,1,0,0,0,0,1,1,0
1,5,170,5,0,1,1,1,0,0,0,0,1,1,0
1,5,167,5,0,1,1,1,0,0,0,0,1,1,0
1,2,46,5,0,1,1,1,0,0,0,0,1,1,0
1,2,60,8,0,1,1,1,0,0,0,0,1,1,0
1,5,120,5,0,1,1,1,0,0,0,0,1,1,0
1,2,21,5,0,1,1,1,0,0,0,0,1,1,0
1,5,108,5,0,1,1,1,0,0,0,0,1,1,0
1,5,92,8,0,1,1,1,0,0,0,0,1,1,0
1,1,15,8,0,1,1,1,0,0,0,0,1,1,0
1,3,75,5,0,1,1,1,0,0,0,0,1,1,0
1,6,183,5,0,1,1,1,0,0,0,0,1,1,0
1,5,118,5,0,1,1,1,0,0,0,0,1,1,0
1,2,55,5,0,1,1,1,0,0,0,0,1,1,0
1,5,179,5,0,1,1,1,0,0,0,0,1,1,0
1,2,51,5,0,1,1,1,0,0,0,0,1,1,0
1,2,44,5,0,1,1,1,0,0,0,0,1,1,0
1,5,86,5,0,1,1,1,0,0,0,0,1,1,0
1,5,122,5,0,1,1,1,0,0,0,0,1,1,0
1,5,152,5,0,1,1,1,0,0,0,0,1,1,0
1,5,127,5,0,1,1,1,0,0,0,0,1,1,0
1,2,24,5,0,1,1,1,0,0,0,0,1,1,0
1,5,131,5,0,1,1,1,0,0,0,0,1,1,0
1,5,125,5,0,1,1,1,0,0,0,0,1,1,0
1,5,93,8,0,1,1,1,0,0,0,0,1,1,0
1,6,184,5,0,1,1,1,0,0,0,0,1,1,0
1,2,71,5,0,1,1,1,0,0,0,0,1,1,0
1,2,54,5,0,1,1,1,0,0,0,0,1,1,0
1,5,102,1,0,1,1,1,0,0,0,0,1,1,0
1,5,117,5,0,1,1,1,0,0,0,0,1,1,0
1,1,20,5,0,1,1,1,0,0,0,0,1,1,0
1,5,97,1,0,1,1,1,0,0,0,0,1,1,0
1,2,32,5,0,1,1,1,0,0,0,0,1,1,0
1,5,153,5,0,1,1,1,0,0,0,0,1,1,0
1,2,65,5,0,1,1,1,0,0,0,0,1,1,0
1,5,156,5,0,1,1,1,0,0,0,0,1,1,0
1,5,164,5,0,1,1,1,0,0,0,0,1,1,0
1,5,166,5,0,1,1,1,0,0,0,0,1,1,0
1,3,78,8,0,1,1,1,0,0,0,0,1,1,0
1,5,175,5,0,1,1,1,0,0,0,0,1,1,0
1,5,94,1,0,1,1,1,0,0,0,0,1,1,0
1,5,155,5,0,1,1,1,0,0,0,0,1,1,0
1,5,90,8,0,1,1,1,0,0,0,0,1,1,0
1,5,107,5,0,1,1,1,0,0,0,0,1,1,0
1,6,186,5,0,1,1,1,0,0,0,0,1,1,0
1,2,28,5,0,1,1,1,0,0,0,0,1,1,0
1,5,146,5,0,1,1,1,0,0,0,0,1,1,0
1,1,7,5,0,1,1,1,0,0,0,0,1,1,0
1,5,145,5,0,1,1,1,0,0,0,0,1,1,0
1,2,53,5,0,1,1,1,0,0,0,0,1,1,0
1,5,89,5,0,1,1,1,0,0,0,0,1,1,0
1,5,113,5,0,1,1,1,0,0,0,0,1,1,0
1,1,6,5,0,1,1,1,0,0,0,0,1,1,0
1,2,23,5,0,1,1,1,0,0,0,0,1,1,0
1,5,134,5,0,1,1,1,0,0,0,0,1,1,0
1,5,112,5,0,1,1,1,0,0,0,0,1,1,0
1,2,49,5,0,1,1,1,0,0,0,0,1,1,0
1,5,88,5,0,1,1,1,0,0,0,0,1,1,0
1,2,70,5,0,1,1,1,0,0,0,0,1,1,0
1,3,76,8,0,1,1,1,0,0,0,0,1,1,0
1,5,123,5,0,1,1,1,0,0,0,0,1,1,0
1,2,64,8,0,1,1,1,0,0,0,0,1,1,0
1,2,39,5,0,1,1,1,0,0,0,0,1,1,0
1,5,105,5,0,1,1,1,0,0,0,0,1,1,0
1,5,116,5,0,1,1,1,0,0,0,0,1,1,0
1,5,83,5,0,1,1,1,0,0,0,0,1,1,0
1,4,80,5,0,1,1,1,0,0,0,0,1,1,0
1,5,138,5,0,1,1,1,0,0,0,0,1,1,0
1,2,48,5,0,1,1,1,0,0,0,0,1,1,0
1,2,66,5,0,1,1,1,0,0,0,0,1,1,0
1,2,68,5,0,1,1,1,0,0,0,0,1,1,0
1,2,34,5,0,1,1,1,0,0,0,0,1,1,0
1,6,182,5,0,1,1,1,0,0,0,0,1,1,0
